sample_idx,target_class,formula,n_picks,depth,precision_train,n_tp,n_fp
24,canadian_goose,"( ( G(x_1061 <= 2.3825) ) ∧ ( F[50,inf](x_1308 => 4.951) ) )",2,2,0.833333,5,1
25,greylag_goose,"( ( ( ( ( ( ( G(x_1061 <= 4.5102) ) ∧ ( G[53,inf](x_1171 <= 6.1553) ) ) ∧ ( G[50,inf](x_1308 <= 1.9838) ) ) ∧ ( G[99,inf](x_1114 <= 4.423) ) ) ∧ ( G[41,96](x_912 <= 0.389) ) ) ∧ ( G[79,203](x_1128 <= 5.5075) ) ) ∧ ( G(x_1059 <= 5.3127) ) )",7,7,0.333333,2,4
26,pink-footed_goose,"( F[110,inf](x_1236 => 28.9624) )",1,1,1.0,7,0
27,canadian_goose,"( ( ( G[53,inf](x_1171 <= 3.6076) ) ∧ ( G[209,inf](x_1200 <= 1.1007) ) ) ∧ ( G[41,96](x_912 <= 0.2433) ) )",3,3,0.833333,5,1
28,greylag_goose,"( ( ( G(x_1059 <= 5.3127) ) ∧ ( G[50,inf](x_1308 <= 1.9838) ) ) ∧ ( G[41,96](x_912 <= 0.389) ) )",3,3,0.181818,2,9
29,canadian_goose,"( ( ( ( ( G(x_1061 <= 2.3825) ) ∧ ( G[99,inf](x_1114 <= 2.6054) ) ) ∧ ( G(x_1059 <= 3.111) ) ) ∧ ( F[110,inf](x_1236 => 1.5069) ) ) ∧ ( F(x_1246 => 2.9856) ) )",5,5,0.333333,2,4
30,pink-footed_goose,"( F[110,inf](x_1236 => 28.9624) )",1,1,1.0,7,0
31,canadian_goose,"( ( F[50,inf](x_1308 => 4.951) ) ∧ ( F[110,inf](x_1236 => 1.5069) ) )",2,2,0.454545,5,6
32,greylag_goose,"( ( F[188,inf](x_1207 => 6.6063) ) ∧ ( G[79,203](x_1128 <= 5.5075) ) )",2,2,1.0,2,0
33,pink-footed_goose,"( F[110,inf](x_1236 => 28.9624) )",1,1,1.0,7,0
34,pink-footed_goose,"( F[110,inf](x_1236 => 28.9624) )",1,1,1.0,7,0
35,pink-footed_goose,"( F[110,inf](x_1236 => 28.9624) )",1,1,1.0,7,0
36,pink-footed_goose,"( G[59,74](x_875 <= 0.1981) )",1,1,0.185185,5,22
37,canadian_goose,"( ( G[53,inf](x_1171 <= 3.6076) ) ∧ ( G[59,74](x_875 <= 0.0606) ) )",2,2,0.8,8,2
38,pink-footed_goose,( F(x_1246 => 38.133) ),1,1,0.875,7,1
39,pink-footed_goose,"( F[110,inf](x_1236 => 28.9624) )",1,1,1.0,7,0
40,white-faced_whistling_duck,"( ( F[99,inf](x_1114 => 17.7618) ) ∧ ( G[110,inf](x_1236 <= 1.125) ) )",2,2,1.0,5,0
41,greylag_goose,"( ( F[188,inf](x_1207 => 6.6063) ) ∧ ( G(x_1059 <= 5.3127) ) )",2,2,1.0,3,0
42,canadian_goose,"( ( G[53,inf](x_1171 <= 3.6076) ) ∧ ( G[188,inf](x_1207 <= 0.9668) ) )",2,2,0.875,7,1
43,black-bellied_whistling_duck,"( ( F[53,inf](x_1171 => 19.6558) ) ∧ ( G(x_1246 <= 2.9856) ) )",2,2,0.833333,5,1
44,white-faced_whistling_duck,( F(x_1061 => 22.9649) ),1,1,0.888889,8,1
45,canadian_goose,"( ( F[50,inf](x_1308 => 4.951) ) ∧ ( F[110,inf](x_1236 => 1.5069) ) )",2,2,0.454545,5,6
46,white-faced_whistling_duck,"( F[79,203](x_1128 => 25.0196) )",1,1,0.777778,7,2
47,white-faced_whistling_duck,( F(x_1061 => 22.9649) ),1,1,0.888889,8,1
48,white-faced_whistling_duck,( F(x_1061 => 22.9649) ),1,1,0.888889,8,1
49,black-bellied_whistling_duck,"( ( F[41,96](x_912 => 2.2804) ) ∧ ( G[209,inf](x_1200 <= 1.8003) ) )",2,2,0.75,3,1
